Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
Which of the following statements is TRUE regarding the devlopers:,Multiple Choice,The Developers can consist of any role necessary to deliver the potentially releasable increment. The only exception is the testers† who†help the Developmers but are part of the Test Team,The Developers can consist of any role necessary to deliver the potentially releasable increment. The exception is the Designers who†are the only members of the Scrum Team considered to be outside of the Developers,The Developers consists†of any role necessary to deliver the potentially releasable increment. There are NO sub-teams.,,,,,,,,,,,,,3,"Scrum has only 3 Roles.  Product Owner, Scrum Master and Developers.  ",
You are the†scrum master†asked to advise on†the number†of developers.† Which team†size†is not typical for scrum teams:,Multiple Choice,4,7,11,,,,,,,,,,,,,3,Scrum finds that smaller teams communicate better and are more productive,
What are the 5 Scrum Events?,Multiple Choice,"The Kick Off Meeting, Sprint Planning, Daily Scrum, Sprint Review, Sprint Retrospective","The Sprint, Sprint Planning, Daily Scrum, Sprint Review, Sprint Retrospective","The Sprint, Sprint Planning, Daily Scrum, Product Backlog Grooming, Sprint Retrospective",,,,,,,,,,,,,2,"The Sprint, Sprint Planning, Daily Scrum, Sprint Review, Sprint Retrospective",
What is the MAXIMUM length of the Daily Scrum?,Multiple Choice,25 minutes,15 minutes with allowance given for important discussions like a live product issue,15 minutes,,,,,,,,,,,,,3,15 minutes,
"The scrum events are all compulsory, otherwise you are not doing scrum. True or false?",Multiple Choice,FALSE,TRUE,,,,,,,,,,,,,,2,"Although implementing only parts of Scrum is possible, the result is not Scrum. Scrum exists only in its entirety.  Therefore none of the events can be left out.",
What is the MINIMUM length of the†Sprint Planning meeting?,Multiple Choice,15 minutes,4 hours for a 1 month sprint,There is no minimum,,,,,,,,,,,,,3,There is no minimum for a Sprint Planning meeting.  see the scrum guide. Sprint Planning is time-boxed to a maximum of eight hours for a one-month Sprint,
What is the MAXIMUM length of a sprint planning meeting?,Multiple Choice,"Four hours for a one-month Sprint.†For shorter Sprints, the event is usually shorter.†","Four hours,†strictly time-boxed no matter the length of the sprint.","Eight hours for a one-month Sprint.†For shorter Sprints, the event is usually shorter.†",,,,,,,,,,,,,3,"Eight hours for a one-month Sprint.†For shorter Sprints, the event is usually shorter.†",
Which is the first event of a new†sprint?,Multiple Choice,Sprint Review,Sprint Planning,Daily Scrum,,,,,,,,,,,,,2,"The Scrum Guide says ""The Sprint Retrospective occurs after the Sprint Review and prior to the next Sprint Planning. "". This indicates that the Sprint Planning is the first event.",
What is the purpose of the Daily Scrum,Multiple Choice,For the Scrum Master†to be aware of the plan†for the next 24 hours,For the Developers to synchronize activities and create a plan for the next 24 hours,For the Product Owner to acquire an update on the†plan for the next 24 hours,,,,,,,,,,,,,2,The Daily Scrum is a 15-minute time-boxed event for the Developers to synchronize activities and create a plan for the next 24 hours. This is done by inspecting the work since the last Daily Scrum and forecasting the work that could be done before the next one. The Development Team uses the Daily Scrum to inspect progress toward the Sprint Goal and to inspect how progress is trending toward completing the work in the Sprint Backlog.,
What is the purpose of the Sprint Review?,Multiple Choice,For the Scrum Team to show the Product Owner their progress,For†the Scrum Team and stakeholders to discuss †what was done in the Sprint.††Attendees then†collaborate on the next things that could be done to optimize value.†,For the Scrum Master to demo the progress to the Product Owner and Stakeholders,,,,,,,,,,,,,2,"Yes. A Sprint Review is held at the end of the Sprint to inspect the Increment and adapt the Product Backlog if needed. During the Sprint Review, the Scrum Team and stakeholders collaborate about what was done in the Sprint. Based on that and any changes to the Product Backlog during the Sprint, attendees collaborate on the next things that could be done to optimize value. This is an informal meeting, not a status meeting, and the presentation of the Increment is intended to elicit feedback and foster collaboration.",
What is the purpose of the Sprint Retrospective?,Multiple Choice,It is another opportunity for the Developers to demo the potentially releasable increment,It is an opportunity for the Scrum Team to review how their Sprint Planning meeting should be conducted,It is an opportunity†for the Scrum Team to inspect itself and create a plan for improvements†in the next Sprint.,,,,,,,,,,,,,3,"The purpose of the Sprint Retrospective is to:Inspect how the last Sprint went with regards to people, relationships, process, and tools;Identify and order the major items that went well and potential improvements; and,Create a plan for implementing improvements to the way the Scrum Team does its work.",
What are the 3 scrum†artifiacts ?,Multiple Choice,"Product Backlog, Task Board, Increment","Burn down chart, Sprint Backlog, Increment","Product Backlog, Sprint Backlog, Increment",,,,,,,,,,,,,3,"Product Backlog, Sprint Backlog, Increment",
"Who is responsible for the Product Backlog†including its content, availability, and ordering?",Multiple Choice,The whole scrum team,The Product Owner,The Scrum Master,,,,,,,,,,,,,2,The Product Owner,
Which are usually the most detailed items in the product backlog?,Multiple Choice,Lower ordered Product Backlog items are usually clearer and more detailed than higher ordered ones.,There is no difference. †All Items are as clear and detailed as each other.,Higher ordered Product Backlog items are usually clearer and more detailed than lower ordered ones.,,,,,,,,,,,,,3,Higher ordered Product Backlog items are usually clearer and more detailed than lower ordered ones.,
Which ONE answer is the purpose of a Sprint Burndown chart?,Multiple Choice,Monitoring progress toward the sprint goal,Showing who is not performing in the team,Counting the number of bugs in the product,,,,,,,,,,,,,1," In scrum various practices have been used to forecast progress, like burn-downs, burn-ups, or cumulative flows. ",
Which ONE artifact should be prioritised by the product owner †(which is†especially important†prior to sprint planning)?,Multiple Choice,The Sprint Backlog,The Product Backlog,The Task List,,,,,,,,,,,,,2,The scrum guide is clear that those wanting to change a Product Backlog itemís priority must address the Product Owner. A well prioritised backlog means that only the priority items are tackled in the sprint planning meeting.,
Which of the following is TRUE?,Multiple Choice,The Increment is the sum of all the Product Backlog items completed during a Sprint (including the items completed in previous sprints),The Increment is the output of the†Sprint (not including the sum of the outputs of†previous sprints),The increment is the output at the end of the project,,,,,,,,,,,,,1,The increment contains all work done by the team to this point including the most current sprint,
Who can change the Sprint Backlog during the Sprint?,Multiple Choice,The Product Owner,The Developers OR The Scrum Master,The Developers in collaboration with the product owner,,,,,,,,,,,,,3,Only the Developers can change its Sprint Backlog during a Sprint in collaboration with the product owner,
What is the purpose of the Definition of done?,Multiple Choice,It gives the Development team a concise†explanation of when a User Story is complete,It gives the Scrum†Team†a way to assess when work is complete on the product Increment.,It gives the Scrum Team a†Shared understanding of when the sprint is complete,,,,,,,,,,,,,2,"The scrum team will have a shared understanding of what it means for the increment to be complete. For example 1. All quality tests must pass, 2. All design standards must be met. ",
Who is responsible for helping the Scrum Team and related parties to increase the Transparency of the Artifacts?,Multiple Choice,The Scrum Master,The Product owner,The Senior Stakeholder,,,,,,,,,,,,,1,"The Scrum Master must work with the Product Owner, Developers, and other involved parties to understand if the artifacts are completely transparent. There are practices for coping with incomplete transparency; the Scrum Master must help everyone apply the most appropriate practices in the absence of complete transparency. A Scrum Master can detect incomplete transparency by inspecting the artifacts, sensing patterns, listening closely to what is being said, and detecting differences between expected and real results.",
If multiple teams are working on the same product. †How many definitions of done should there be for that product?,Multiple Choice,There should be multiple definitions of done†for multiple teams for the combined end product,Each team should have it's own definition of done for the combined end product,One definition of done is used by all teams for the combined end product,,,,,,,,,,,,,3,One definition of done is used by all teams for the combined end product,
How many product backlogs should there be for multiple teams working together on a project?,Multiple Choice,1 per team,1 used by all teams,2 per team,,,,,,,,,,,,,2,"The Scrum Guide tells us that ""Multiple Scrum Teams often work together on the same product. One Product Backlog is used to describe the upcoming work on the product. A Product Backlog attribute that groups items may then be employed.""",
"True or False. When multiple scrum teams work together, they can change their working practices to break the scrum rules if the end product is a more acceptable working relationship.",Multiple Choice,TRUE,FALSE,,,,,,,,,,,,,,2,Even expanding the number of teams should not cause a break in the scrum rules.  The rules actually aid better development by maintaining the framework.,
True or False.† A Scrum Master should also be expected to work with the wider organisation when Scrum is scaled to multiple teams.,Multiple Choice,TRUE,FALSE,,,,,,,,,,,,,,1,Yes.  This is a valid responsibilities of a Scrum Master,
